ticker,mr_trades,mr_wr%,mr_total%,1b_trades,1b_wr%,1b_total%,2b_trades,2b_wr%,2b_total%,best_struct%,best_struct_mode,delta_best_struct_vs_mr%
ASTS,40,52.5,362.57,9,66.67,220.26,7,100.0,660.79,660.79,2buy,298.21999999999997
IONQ,0,0.0,0.0,5,60.0,91.83,4,25.0,9.54,91.83,1buy,91.83
RDDT,0,0.0,0.0,3,66.67,18.19,3,100.0,69.66,69.66,2buy,69.66
OKLO,16,37.5,-11.58,3,66.67,38.48,4,50.0,43.1,43.1,2buy,54.68
ORCL,0,0.0,0.0,5,80.0,39.58,6,83.33,37.26,39.58,1buy,39.58
CRWD,0,0.0,0.0,11,45.45,-0.87,8,75.0,37.61,37.61,2buy,37.61
AMD,13,38.46,-21.43,11,54.55,15.3,9,55.56,12.18,15.3,1buy,36.730000000000004
SNOW,0,0.0,0.0,7,57.14,15.47,7,57.14,7.66,15.47,1buy,15.47
NOW,0,0.0,0.0,7,57.14,13.65,8,50.0,4.22,13.65,1buy,13.65
META,0,0.0,0.0,12,50.0,-7.63,8,50.0,7.73,7.73,2buy,7.73
NNE,0,0.0,0.0,2,50.0,3.33,2,50.0,0.89,3.33,1buy,3.33
DXYZ,0,0.0,0.0,0,0.0,0.0,2,50.0,-10.88,0.0,1buy,0.0
PANW,0,0.0,0.0,5,40.0,-3.89,6,16.67,-3.82,-3.82,2buy,-3.82
TSLA,14,50.0,5.12,8,37.5,-7.12,8,37.5,-3.82,-3.82,2buy,-8.94
SOUN,0,0.0,0.0,8,37.5,-12.59,6,16.67,-22.33,-12.59,1buy,-12.59
SOFI,16,56.25,87.33,10,40.0,11.93,7,42.86,1.84,11.93,1buy,-75.4
RKLB,31,67.74,608.09,14,57.14,138.65,11,63.64,114.99,138.65,1buy,-469.44000000000005
